id	domain	question	A	B	C	D	answer	explanation	simpleExplanation	whyCorrect	whyIncorrect	fullExplanation
1	Cryptography, PKI and data protection	Felicia wants to deploy an encryption solution that will protect files in motion as they are copied between file shares as well as at rest, and also needs it to support granular, per-user security. What type of solution should she select?	Partition encryption	File encryption	Full-disk encryption	Record-level encryption	B	File encryption protects individual files at rest and can continue protecting them when they are copied, while also supporting granular per-user access.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to File encryption. In simple words, File encryption protects individual files at rest and can continue protecting them when they are copied, while also supporting granular per-user access.	File encryption protects individual files at rest and can continue protecting them when they are copied, while also supporting granular per-user access.	"{""A"": ""Partition encryption protects a specific disk partition. It does not normally follow individual files between shares or provide granular per-user file permissions. It is not the best answer here because the scenario is specifically pointing to File encryption. Partition/full-disk encryption protect larger storage areas and do not give per-user file-level control; record-level encryption is mainly for database records, not ordinary files moving between shares."", ""C"": ""Full-disk encryption protects an entire disk when the device is off or locked. It is mainly device-loss protection, not granular per-file control. It is not the best answer here because the scenario is specifically pointing to File encryption. Partition/full-disk encryption protect larger storage areas and do not give per-user file-level control; record-level encryption is mainly for database records, not ordinary files moving between shares."", ""D"": ""Record-level encryption protects individual database records. It is normally a database concept, not ordinary file-share protection. It is not the best answer here because the scenario is specifically pointing to File encryption. Partition/full-disk encryption protect larger storage areas and do not give per-user file-level control; record-level encryption is mainly for database records, not ordinary files moving between shares.""}"	"The correct answer is B. File encryption.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to File encryption. In simple words, File encryption protects individual files at rest and can continue protecting them when they are copied, while also supporting granular per-user access.

Why this answer is correct:
File encryption protects individual files at rest and can continue protecting them when they are copied, while also supporting granular per-user access.

Why the other options are incorrect:
A. Partition encryption: Partition encryption protects a specific disk partition. It does not normally follow individual files between shares or provide granular per-user file permissions. It is not the best answer here because the scenario is specifically pointing to File encryption. Partition/full-disk encryption protect larger storage areas and do not give per-user file-level control; record-level encryption is mainly for database records, not ordinary files moving between shares.
C. Full-disk encryption: Full-disk encryption protects an entire disk when the device is off or locked. It is mainly device-loss protection, not granular per-file control. It is not the best answer here because the scenario is specifically pointing to File encryption. Partition/full-disk encryption protect larger storage areas and do not give per-user file-level control; record-level encryption is mainly for database records, not ordinary files moving between shares.
D. Record-level encryption: Record-level encryption protects individual database records. It is normally a database concept, not ordinary file-share protection. It is not the best answer here because the scenario is specifically pointing to File encryption. Partition/full-disk encryption protect larger storage areas and do not give per-user file-level control; record-level encryption is mainly for database records, not ordinary files moving between shares."
2	Cryptography, PKI and data protection	Valerie wants to use a certificate to handle multiple subdomains for her website, including the sales.example.com and support.example.com subdomains. What type of certificate should she use?	A self-signed certificate	A root of trust certificate	A CRL certificate	A wildcard certificate	D	A wildcard certificate such as *.example.com can cover multiple subdomains under the same parent domain.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A wildcard certificate. In simple words, A wildcard certificate such as *.example.com can cover multiple subdomains under the same parent domain.	A wildcard certificate such as *.example.com can cover multiple subdomains under the same parent domain.	"{""A"": ""A self-signed certificate is signed by its own owner rather than by a trusted certificate authority, so clients may not trust it automatically. It is not the best answer here because the scenario is specifically pointing to A wildcard certificate. Self-signed certificates are not trusted by public browsers, a root-of-trust certificate is not for covering subdomains, and a CRL is for revocation, not identity coverage."", ""B"": ""A root of trust is the trusted starting point for a chain of trust, not a certificate type used to cover many web subdomains. It is not the best answer here because the scenario is specifically pointing to A wildcard certificate. Self-signed certificates are not trusted by public browsers, a root-of-trust certificate is not for covering subdomains, and a CRL is for revocation, not identity coverage."", ""C"": ""A certificate revocation list is used to list certificates that should no longer be trusted. It is not used to cover subdomains. It is not the best answer here because the scenario is specifically pointing to A wildcard certificate. Self-signed certificates are not trusted by public browsers, a root-of-trust certificate is not for covering subdomains, and a CRL is for revocation, not identity coverage.""}"	"The correct answer is D. A wildcard certificate.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A wildcard certificate. In simple words, A wildcard certificate such as *.example.com can cover multiple subdomains under the same parent domain.

Why this answer is correct:
A wildcard certificate such as *.example.com can cover multiple subdomains under the same parent domain.

Why the other options are incorrect:
A. A self-signed certificate: A self-signed certificate is signed by its own owner rather than by a trusted certificate authority, so clients may not trust it automatically. It is not the best answer here because the scenario is specifically pointing to A wildcard certificate. Self-signed certificates are not trusted by public browsers, a root-of-trust certificate is not for covering subdomains, and a CRL is for revocation, not identity coverage.
B. A root of trust certificate: A root of trust is the trusted starting point for a chain of trust, not a certificate type used to cover many web subdomains. It is not the best answer here because the scenario is specifically pointing to A wildcard certificate. Self-signed certificates are not trusted by public browsers, a root-of-trust certificate is not for covering subdomains, and a CRL is for revocation, not identity coverage.
C. A CRL certificate: A certificate revocation list is used to list certificates that should no longer be trusted. It is not used to cover subdomains. It is not the best answer here because the scenario is specifically pointing to A wildcard certificate. Self-signed certificates are not trusted by public browsers, a root-of-trust certificate is not for covering subdomains, and a CRL is for revocation, not identity coverage."
3	Change management	What information is analyzed during a gap analysis?	Control objectives and controls intended to meet the objectives	Physically separate networks and their potential connection points	Compensating controls and the controls they are replacing	Security procedures and the policies they are designed to support	A	Gap analysis compares the control objectives with the controls currently intended to meet those objectives.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Control objectives and controls intended to meet the objectives. In simple words, Gap analysis compares the control objectives with the controls currently intended to meet those objectives.	Gap analysis compares the control objectives with the controls currently intended to meet those objectives.	"{""B"": ""This option describes Physically separate networks and their potential connection points. It is not the best answer here because the scenario is specifically pointing to Control objectives and controls intended to meet the objectives. Network separation, compensating controls, and procedure-policy mapping are narrower reviews; gap analysis compares desired objectives with the controls intended or currently used to satisfy them."", ""C"": ""This option describes Compensating controls and the controls they are replacing. It is not the best answer here because the scenario is specifically pointing to Control objectives and controls intended to meet the objectives. Network separation, compensating controls, and procedure-policy mapping are narrower reviews; gap analysis compares desired objectives with the controls intended or currently used to satisfy them."", ""D"": ""DES is outdated and no longer considered secure because of its small key size. It is not the best answer here because the scenario is specifically pointing to Control objectives and controls intended to meet the objectives. Network separation, compensating controls, and procedure-policy mapping are narrower reviews; gap analysis compares desired objectives with the controls intended or currently used to satisfy them.""}"	"The correct answer is A. Control objectives and controls intended to meet the objectives.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Control objectives and controls intended to meet the objectives. In simple words, Gap analysis compares the control objectives with the controls currently intended to meet those objectives.

Why this answer is correct:
Gap analysis compares the control objectives with the controls currently intended to meet those objectives.

Why the other options are incorrect:
B. Physically separate networks and their potential connection points: This option describes Physically separate networks and their potential connection points. It is not the best answer here because the scenario is specifically pointing to Control objectives and controls intended to meet the objectives. Network separation, compensating controls, and procedure-policy mapping are narrower reviews; gap analysis compares desired objectives with the controls intended or currently used to satisfy them.
C. Compensating controls and the controls they are replacing: This option describes Compensating controls and the controls they are replacing. It is not the best answer here because the scenario is specifically pointing to Control objectives and controls intended to meet the objectives. Network separation, compensating controls, and procedure-policy mapping are narrower reviews; gap analysis compares desired objectives with the controls intended or currently used to satisfy them.
D. Security procedures and the policies they are designed to support: DES is outdated and no longer considered secure because of its small key size. It is not the best answer here because the scenario is specifically pointing to Control objectives and controls intended to meet the objectives. Network separation, compensating controls, and procedure-policy mapping are narrower reviews; gap analysis compares desired objectives with the controls intended or currently used to satisfy them."
4	Security+ mixed practice	Susan's team has recommended an application restart for a production, customer-facing application as part of an urgent patch due to a security update. What technical implication is the most common concern when conducting an application restart?	Application configuration changes caused by the restart	Whether the patch will properly apply	Lack of security controls during the restart	The downtime during the restart	D	The usual technical concern with restarting a production application is downtime or service interruption.	The key clue is that the application is production and customer-facing. A restart can make the application unavailable while it shuts down and starts again. In simple words, the biggest practical worry is: will customers lose access, and for how long?	The usual technical concern with restarting a production application is downtime or service interruption.	"{""A"": ""This option describes Application configuration changes caused by the restart. It is not the best answer here because the scenario is specifically pointing to The downtime during the restart. Patch application, security controls, and configuration changes can matter, but the immediate common restart implication for a customer-facing production app is service interruption."", ""B"": ""This option describes Whether the patch will properly apply. It is not the best answer here because the scenario is specifically pointing to The downtime during the restart. Patch application, security controls, and configuration changes can matter, but the immediate common restart implication for a customer-facing production app is service interruption."", ""C"": ""This option describes Lack of security controls during the restart. It is not the best answer here because the scenario is specifically pointing to The downtime during the restart. Patch application, security controls, and configuration changes can matter, but the immediate common restart implication for a customer-facing production app is service interruption.""}"	"The correct answer is D. The downtime during the restart.

In Simple Words: What is this asking?
The key clue is that the application is production and customer-facing. A restart can make the application unavailable while it shuts down and starts again. In simple words, the biggest practical worry is: will customers lose access, and for how long?

Why this answer is correct:
The usual technical concern with restarting a production application is downtime or service interruption.

Why the other options are incorrect:
A. Application configuration changes caused by the restart: This option describes Application configuration changes caused by the restart. It is not the best answer here because the scenario is specifically pointing to The downtime during the restart. Patch application, security controls, and configuration changes can matter, but the immediate common restart implication for a customer-facing production app is service interruption.
B. Whether the patch will properly apply: This option describes Whether the patch will properly apply. It is not the best answer here because the scenario is specifically pointing to The downtime during the restart. Patch application, security controls, and configuration changes can matter, but the immediate common restart implication for a customer-facing production app is service interruption.
C. Lack of security controls during the restart: This option describes Lack of security controls during the restart. It is not the best answer here because the scenario is specifically pointing to The downtime during the restart. Patch application, security controls, and configuration changes can matter, but the immediate common restart implication for a customer-facing production app is service interruption."
5	Change management	Using a tool like git is most frequently associated with what critical change management process?	Having a backout plan	Stakeholder analysis	Version control	Standard operating procedures (SOPs)	C	Git is a version control tool because it tracks file versions, changes, and history.	Git is the clue. Git records versions of files, shows what changed, allows rollback to earlier versions, and tracks who changed what. In change management, that is version control.	Git is a version control tool because it tracks file versions, changes, and history.	"{""A"": ""A backout plan, also called a rollback plan, is the pre-written plan for undoing a change if it fails. It is not the best answer here because the scenario is specifically pointing to Version control. A backout plan is rollback, stakeholder analysis identifies affected parties, and SOPs document procedures; Git's main purpose is tracking versions and changes."", ""B"": ""This option describes Stakeholder analysis. It is not the best answer here because the scenario is specifically pointing to Version control. A backout plan is rollback, stakeholder analysis identifies affected parties, and SOPs document procedures; Git's main purpose is tracking versions and changes."", ""D"": ""Standard operating procedures are documented, repeatable instructions for carrying out routine processes consistently. It is not the best answer here because the scenario is specifically pointing to Version control. A backout plan is rollback, stakeholder analysis identifies affected parties, and SOPs document procedures; Git's main purpose is tracking versions and changes.""}"	"The correct answer is C. Version control.

In Simple Words: What is this asking?
Git is the clue. Git records versions of files, shows what changed, allows rollback to earlier versions, and tracks who changed what. In change management, that is version control.

Why this answer is correct:
Git is a version control tool because it tracks file versions, changes, and history.

Why the other options are incorrect:
A. Having a backout plan: A backout plan, also called a rollback plan, is the pre-written plan for undoing a change if it fails. It is not the best answer here because the scenario is specifically pointing to Version control. A backout plan is rollback, stakeholder analysis identifies affected parties, and SOPs document procedures; Git's main purpose is tracking versions and changes.
B. Stakeholder analysis: This option describes Stakeholder analysis. It is not the best answer here because the scenario is specifically pointing to Version control. A backout plan is rollback, stakeholder analysis identifies affected parties, and SOPs document procedures; Git's main purpose is tracking versions and changes.
D. Standard operating procedures (SOPs): Standard operating procedures are documented, repeatable instructions for carrying out routine processes consistently. It is not the best answer here because the scenario is specifically pointing to Version control. A backout plan is rollback, stakeholder analysis identifies affected parties, and SOPs document procedures; Git's main purpose is tracking versions and changes."
6	Security+ mixed practice	Jacob is concerned that the password used for one of his organization's services is weak, and he wants to make it harder to crack by making it harder to test possible keys during a brute-force attack. What is this technique called?	Master keying	Key stretching	Key rotation	Passphrase armoring	B	Key stretching makes brute-force attempts slower by increasing the work needed to test each possible password or key.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Key stretching. In simple words, Key stretching makes brute-force attempts slower by increasing the work needed to test each possible password or key.	Key stretching makes brute-force attempts slower by increasing the work needed to test each possible password or key.	"{""A"": ""Master keying is a key hierarchy or shared access arrangement. It is not a password-hardening technique. It is not the best answer here because the scenario is specifically pointing to Key stretching. Master keying and key rotation are key-management ideas, and passphrase armoring is not the standard term; key stretching deliberately slows brute-force testing."", ""C"": ""Key rotation means replacing keys on a schedule or after risk, not making each brute-force guess harder. It is not the best answer here because the scenario is specifically pointing to Key stretching. Master keying and key rotation are key-management ideas, and passphrase armoring is not the standard term; key stretching deliberately slows brute-force testing."", ""D"": ""This option describes Passphrase armoring. It is not the best answer here because the scenario is specifically pointing to Key stretching. Master keying and key rotation are key-management ideas, and passphrase armoring is not the standard term; key stretching deliberately slows brute-force testing.""}"	"The correct answer is B. Key stretching.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Key stretching. In simple words, Key stretching makes brute-force attempts slower by increasing the work needed to test each possible password or key.

Why this answer is correct:
Key stretching makes brute-force attempts slower by increasing the work needed to test each possible password or key.

Why the other options are incorrect:
A. Master keying: Master keying is a key hierarchy or shared access arrangement. It is not a password-hardening technique. It is not the best answer here because the scenario is specifically pointing to Key stretching. Master keying and key rotation are key-management ideas, and passphrase armoring is not the standard term; key stretching deliberately slows brute-force testing.
C. Key rotation: Key rotation means replacing keys on a schedule or after risk, not making each brute-force guess harder. It is not the best answer here because the scenario is specifically pointing to Key stretching. Master keying and key rotation are key-management ideas, and passphrase armoring is not the standard term; key stretching deliberately slows brute-force testing.
D. Passphrase armoring: This option describes Passphrase armoring. It is not the best answer here because the scenario is specifically pointing to Key stretching. Master keying and key rotation are key-management ideas, and passphrase armoring is not the standard term; key stretching deliberately slows brute-force testing."
7	Security controls and operations	Log monitoring is an example of what control category?	Technical	Managerial	Operational	Physical	A	Log monitoring is normally implemented with technical systems such as logging platforms, SIEM tools, and automated alerts.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Technical. In simple words, Log monitoring is normally implemented with technical systems such as logging platforms, SIEM tools, and automated alerts.	Log monitoring is normally implemented with technical systems such as logging platforms, SIEM tools, and automated alerts.	"{""B"": ""This option describes Managerial. It is not the best answer here because the scenario is specifically pointing to Technical. Managerial controls are governance, operational controls are people/process actions, and physical controls protect facilities; automated log monitoring is a technical system control."", ""C"": ""This option describes Operational. It is not the best answer here because the scenario is specifically pointing to Technical. Managerial controls are governance, operational controls are people/process actions, and physical controls protect facilities; automated log monitoring is a technical system control."", ""D"": ""This option describes Physical. It is not the best answer here because the scenario is specifically pointing to Technical. Managerial controls are governance, operational controls are people/process actions, and physical controls protect facilities; automated log monitoring is a technical system control.""}"	"The correct answer is A. Technical.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Technical. In simple words, Log monitoring is normally implemented with technical systems such as logging platforms, SIEM tools, and automated alerts.

Why this answer is correct:
Log monitoring is normally implemented with technical systems such as logging platforms, SIEM tools, and automated alerts.

Why the other options are incorrect:
B. Managerial: This option describes Managerial. It is not the best answer here because the scenario is specifically pointing to Technical. Managerial controls are governance, operational controls are people/process actions, and physical controls protect facilities; automated log monitoring is a technical system control.
C. Operational: This option describes Operational. It is not the best answer here because the scenario is specifically pointing to Technical. Managerial controls are governance, operational controls are people/process actions, and physical controls protect facilities; automated log monitoring is a technical system control.
D. Physical: This option describes Physical. It is not the best answer here because the scenario is specifically pointing to Technical. Managerial controls are governance, operational controls are people/process actions, and physical controls protect facilities; automated log monitoring is a technical system control."
8	Cryptography, PKI and data protection	Rick wants to make offline brute-force attacks against his password file very difficult for attackers. Which of the following is not a common technique to make passwords harder to crack?	Use of a salt	Use of a pepper	Use of a purpose-built password hashing algorithm	Encrypting password plain text using symmetric encryption	D	Passwords should normally be hashed with salts and strong password-hashing methods, not stored as encrypted plaintext.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Encrypting password plain text using symmetric encryption. In simple words, Passwords should normally be hashed with salts and strong password-hashing methods, not stored as encrypted plaintext.	Passwords should normally be hashed with salts and strong password-hashing methods, not stored as encrypted plaintext.	"{""A"": ""A salt is a unique value added to a password before hashing so identical passwords do not produce identical hashes and rainbow tables are less useful. It is not the best answer here because the scenario is specifically pointing to Encrypting password plain text using symmetric encryption. Salt, pepper, and password-hashing algorithms are standard password-hardening methods; storing passwords by reversible symmetric encryption is not the normal safe method."", ""B"": ""A pepper is a secret value added to password hashing, usually stored separately from the password database. It is not the best answer here because the scenario is specifically pointing to Encrypting password plain text using symmetric encryption. Salt, pepper, and password-hashing algorithms are standard password-hardening methods; storing passwords by reversible symmetric encryption is not the normal safe method."", ""C"": ""A purpose-built password hashing algorithm is designed to make password cracking slower and harder. It is not the best answer here because the scenario is specifically pointing to Encrypting password plain text using symmetric encryption. Salt, pepper, and password-hashing algorithms are standard password-hardening methods; storing passwords by reversible symmetric encryption is not the normal safe method.""}"	"The correct answer is D. Encrypting password plain text using symmetric encryption.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Encrypting password plain text using symmetric encryption. In simple words, Passwords should normally be hashed with salts and strong password-hashing methods, not stored as encrypted plaintext.

Why this answer is correct:
Passwords should normally be hashed with salts and strong password-hashing methods, not stored as encrypted plaintext.

Why the other options are incorrect:
A. Use of a salt: A salt is a unique value added to a password before hashing so identical passwords do not produce identical hashes and rainbow tables are less useful. It is not the best answer here because the scenario is specifically pointing to Encrypting password plain text using symmetric encryption. Salt, pepper, and password-hashing algorithms are standard password-hardening methods; storing passwords by reversible symmetric encryption is not the normal safe method.
B. Use of a pepper: A pepper is a secret value added to password hashing, usually stored separately from the password database. It is not the best answer here because the scenario is specifically pointing to Encrypting password plain text using symmetric encryption. Salt, pepper, and password-hashing algorithms are standard password-hardening methods; storing passwords by reversible symmetric encryption is not the normal safe method.
C. Use of a purpose-built password hashing algorithm: A purpose-built password hashing algorithm is designed to make password cracking slower and harder. It is not the best answer here because the scenario is specifically pointing to Encrypting password plain text using symmetric encryption. Salt, pepper, and password-hashing algorithms are standard password-hardening methods; storing passwords by reversible symmetric encryption is not the normal safe method."
9	Change management	Diffie-Hellman and RSA are both examples of what important encryption-related solution?	Rekeying	Certificate revocation protocols	Key exchange algorithms	Key generation algorithms	C	Diffie-Hellman and RSA can be used as key exchange mechanisms to help parties establish encryption keys.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Key exchange algorithms. In simple words, Diffie-Hellman and RSA can be used as key exchange mechanisms to help parties establish encryption keys.	Diffie-Hellman and RSA can be used as key exchange mechanisms to help parties establish encryption keys.	"{""A"": ""This option describes Rekeying. It is not the best answer here because the scenario is specifically pointing to Key exchange algorithms. Rekeying changes keys, certificate revocation checks certificate trust, and key generation creates keys; Diffie-Hellman and RSA are used to establish or exchange key material."", ""B"": ""Certificates can identify users, systems, or services by binding an identity to a public key. It is not the best answer here because the scenario is specifically pointing to Key exchange algorithms. Rekeying changes keys, certificate revocation checks certificate trust, and key generation creates keys; Diffie-Hellman and RSA are used to establish or exchange key material."", ""D"": ""This option describes Key generation algorithms. It is not the best answer here because the scenario is specifically pointing to Key exchange algorithms. Rekeying changes keys, certificate revocation checks certificate trust, and key generation creates keys; Diffie-Hellman and RSA are used to establish or exchange key material.""}"	"The correct answer is C. Key exchange algorithms.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Key exchange algorithms. In simple words, Diffie-Hellman and RSA can be used as key exchange mechanisms to help parties establish encryption keys.

Why this answer is correct:
Diffie-Hellman and RSA can be used as key exchange mechanisms to help parties establish encryption keys.

Why the other options are incorrect:
A. Rekeying: This option describes Rekeying. It is not the best answer here because the scenario is specifically pointing to Key exchange algorithms. Rekeying changes keys, certificate revocation checks certificate trust, and key generation creates keys; Diffie-Hellman and RSA are used to establish or exchange key material.
B. Certificate revocation protocols: Certificates can identify users, systems, or services by binding an identity to a public key. It is not the best answer here because the scenario is specifically pointing to Key exchange algorithms. Rekeying changes keys, certificate revocation checks certificate trust, and key generation creates keys; Diffie-Hellman and RSA are used to establish or exchange key material.
D. Key generation algorithms: This option describes Key generation algorithms. It is not the best answer here because the scenario is specifically pointing to Key exchange algorithms. Rekeying changes keys, certificate revocation checks certificate trust, and key generation creates keys; Diffie-Hellman and RSA are used to establish or exchange key material."
10	Change management	Sally wants to ensure that her change management process includes a procedure for what to do if the change fails. What should she create to handle this possibility?	An impact analysis	A backout plan	A regression test	A maintenance window	B	A backout plan is the pre-written recovery or rollback plan used if a change fails.	"The question is asking: ""What do you call an IT escape plan or emergency exit strategy?"" Imagine an IT team is upgrading a major system over the weekend. If they hit a serious error halfway through the upgrade and the service breaks, they cannot leave the system broken for Monday morning. They need a pre-written, step-by-step manual for undoing the change and safely returning the system to the previous working state. In change management, that safety net is called a backout plan, sometimes called a rollback plan."	A backout plan is correct because it explains exactly what the team should do if the change fails. It is prepared before the work starts so the team is not guessing during an outage.	"{""A"": ""An impact analysis is done before the change to understand who or what might be affected. It helps predict risk, but it is not the procedure for undoing a failed change."", ""C"": ""A regression test checks whether old features still work after a change. Testing may reveal a failure, but the test itself is not the recovery plan."", ""D"": ""A maintenance window is the approved time slot for doing the work, such as Saturday 2:00 AM to 4:00 AM. It is a time period, not the emergency rollback procedure.""}"	"The correct answer is B. A backout plan.

In Simple Words: What is this asking?
The question is asking: ""What do you call an IT escape plan or emergency exit strategy?"" Imagine an IT team is upgrading a major system over the weekend. If they hit a serious error halfway through the upgrade and the service breaks, they cannot leave the system broken for Monday morning. They need a pre-written, step-by-step manual for undoing the change and safely returning the system to the previous working state. In change management, that safety net is called a backout plan, sometimes called a rollback plan.

Why this answer is correct:
A backout plan is correct because it explains exactly what the team should do if the change fails. It is prepared before the work starts so the team is not guessing during an outage.

Why the other options are incorrect:
A. An impact analysis: An impact analysis is done before the change to understand who or what might be affected. It helps predict risk, but it is not the procedure for undoing a failed change.
C. A regression test: A regression test checks whether old features still work after a change. Testing may reveal a failure, but the test itself is not the recovery plan.
D. A maintenance window: A maintenance window is the approved time slot for doing the work, such as Saturday 2:00 AM to 4:00 AM. It is a time period, not the emergency rollback procedure."
